id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
20,Phương Trí Vũ,1.720.000 - 2.800.000 VND,Phú Thọ,"Xe đưa đón sân bay, Hồ bơi ngoài trời, Phòng không hút thuốc",13:00 - 15:00,12:00 - 12:00,"Dọn phòng hàng ngày, Thang máy, Trung tâm Spa & chăm sóc sức khoẻ",Phòng yên tĩnh
21,Thảo Dương,9.430.000 - 11.030.000 VND,Lào Cai,Phòng gia đình,15:00 - 17:00,11:00 - 12:00,"Phòng gia đình, Dịch vụ phòng, Tiện nghi cho khách khuyết tật",
22,Châu Vũ,9.020.000 - 10.420.000 VND,Quảng Nam,"Sân thượng / hiên, Quầy bar, Nôi/cũi theo yêu cầu",11:30 - 18:00,9:00 - 12:00,"Điều hòa nhiệt độ, Khu vực bãi tắm riêng, Máy pha trà/cà phê",
23,Lan Mai,5.820.000 - 7.370.000 VND,Cần Thơ,"Hồ bơi ngoài trời, Phòng không hút thuốc, Quầy bar",13:30 - 15:00,9:00 - 12:00,"Xe đưa đón sân bay, Lễ tân 24 giờ, Bữa sáng, Thang máy",Phòng không cửa sổ
24,Nhiên Mai Bảo Bùi,5.410.000 - 5.830.000 VND,Quảng Ninh,"Máy pha trà/cà phê, Tiện nghi BBQ, WiFi miễn phí, Bữa sáng",11:00 - 18:00,10:00 - 12:00,"Trung tâm thể dục, Máy pha trà/cà phê, Nhà hàng",Phòng yên tĩnh
25,Chi Hoàng,6.360.000 - 7.300.000 VND,TP. Hồ Chí Minh,Tiện nghi cho khách khuyết tật,12:00 - 18:00,9:30 - 12:00,"Sân thượng / hiên, Khu vực bãi tắm riêng, Nhà hàng, Dịch vụ phòng",Chỗ đậu xe riêng
26,Thành Nguyễn,8.490.000 - 8.560.000 VND,Cà Mau,"WiFi miễn phí, Phòng không hút thuốc, Khu vực bãi tắm riêng",12:30 - 14:00,9:30 - 12:00,Sân vườn,
27,Vũ Mai Bảo Nguyễn,16.770.000 - 17.950.000 VND,Hà Nam,"Dịch vụ phòng, Bữa sáng, Phòng không hút thuốc",12:30 - 15:00,11:00 - 12:00,"Tiện nghi cho khách khuyết tật, Quầy bar, Nôi/cũi theo yêu cầu",Khu vực cho phép hút thuốc
28,Châu Lê,6.830.000 - 6.910.000 VND,Bình Dương,"Giặt ủi, Trung tâm thể dục, Xe đưa đón sân bay",11:00 - 17:00,12:30 - 12:00,"WiFi miễn phí, Sân thượng / hiên, Nôi/cũi theo yêu cầu",
29,Hải Trí Đặng,11.850.000 - 12.340.000 VND,Đắk Nông,Tiện nghi BBQ,14:00 - 17:00,10:30 - 12:00,"Phòng gia đình, Phòng không hút thuốc, Thang máy, Sân thượng / hiên",Hướng biển
30,Nhật Bùi,14.790.000 - 15.560.000 VND,Kon Tum,"Phòng không hút thuốc, WiFi miễn phí, Thang máy",14:30 - 17:00,10:00 - 12:00,"Phòng không hút thuốc, Chỗ đỗ xe, Khu vực bãi tắm riêng, Giặt ủi",View đẹp
31,Kim Bảo Đặng,8.360.000 - 9.770.000 VND,Thái Nguyên,Hồ bơi trong nhà,13:00 - 16:00,11:30 - 12:00,"Dọn phòng hàng ngày, Phòng không hút thuốc, Hồ bơi ngoài trời, Nôi/cũi theo yêu cầu",Chỗ đậu xe riêng
32,Linh Bùi,13.540.000 - 13.760.000 VND,Đồng Nai,"Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng",13:00 - 14:00,10:00 - 12:00,Dịch vụ phòng,Giường phụ
33,Trọng Nguyễn,17.450.000 - 19.420.000 VND,Bắc Kạn,"WiFi miễn phí, Quầy bar, Trung tâm thể dục, Hồ bơi ngoài trời",14:30 - 16:00,10:00 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,Hướng biển
34,Nhiên Bùi,15.990.000 - 17.080.000 VND,Đà Nẵng,"Tiện nghi BBQ, Nôi/cũi theo yêu cầu",14:00 - 17:00,10:00 - 12:00,"Nhà hàng, Dọn phòng hàng ngày, Phòng không hút thuốc, Nôi/cũi theo yêu cầu",Giường phụ
35,Hoàng Lê,6.540.000 - 8.480.000 VND,TP. Hồ Chí Minh,"Sân thượng / hiên, Khu vực bãi tắm riêng, Nôi/cũi theo yêu cầu, WiFi miễn phí",15:30 - 14:00,12:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Quầy bar",
36,Chi Phạm,15.970.000 - 17.310.000 VND,Kiên Giang,"Xe đưa đón sân bay, Dọn phòng hàng ngày",11:30 - 14:00,11:30 - 12:00,"Máy pha trà/cà phê, Phòng gia đình, Nhà hàng",
37,Trung Văn Trần,7.890.000 - 9.670.000 VND,Bình Phước,"Phòng gia đình, WiFi miễn phí",14:30 - 17:00,12:30 - 12:00,Hồ bơi ngoài trời,Không cần dọn phòng
38,Trung Bùi,15.810.000 - 17.310.000 VND,Vĩnh Long,Trung tâm Spa & chăm sóc sức khoẻ,15:30 - 16:00,9:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Chỗ đỗ xe, WiFi miễn phí",Khu vực cho phép hút thuốc
39,Trọng Trí Phạm,16.430.000 - 17.980.000 VND,TP. Hồ Chí Minh,"Sân vườn, Dịch vụ phòng",13:30 - 16:00,9:30 - 12:00,"Phòng không hút thuốc, Chỗ đỗ xe, Khu vực bãi tắm riêng",
40,Bảo Đặng,9.620.000 - 9.950.000 VND,Yên Bái,Chỗ đỗ xe,15:00 - 13:00,12:00 - 12:00,"Giặt ủi, Lễ tân 24 giờ, Xe đưa đón sân bay, Chỗ đỗ xe",Giáp biển
41,Vân Dương,6.740.000 - 7.610.000 VND,Quảng Trị,"Xe đưa đón sân bay, Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí, Phòng gia đình",14:00 - 18:00,9:30 - 12:00,"Quầy bar, Phòng gia đình",Phòng không cửa sổ
42,Nhật Thế Lê,870.000 - 2.810.000 VND,Bà Rịa - Vũng Tàu,"Hồ bơi ngoài trời, Bữa sáng",15:00 - 14:00,10:30 - 12:00,Trung tâm thể dục,Giáp biển
43,Phúc Hoàng,14.370.000 - 15.030.000 VND,Sóc Trăng,"Giặt ủi, Sân thượng / hiên, Khu vực bãi tắm riêng",11:00 - 15:00,9:00 - 12:00,"Trung tâm thể dục, Phòng không hút thuốc, Chỗ đỗ xe",Nôi em bé
44,Xuân Đặng,1.600.000 - 3.120.000 VND,Quảng Bình,"Điều hòa nhiệt độ, Tiện nghi BBQ",13:00 - 17:00,9:30 - 12:00,"Phòng không hút thuốc, Tiện nghi cho khách khuyết tật, Phòng gia đình, Nôi/cũi theo yêu cầu",Phòng yên tĩnh
45,Trọng Vũ,17.440.000 - 18.520.000 VND,Thái Bình,"Điều hòa nhiệt độ, WiFi miễn phí, Tiện nghi cho khách khuyết tật, Quầy bar",14:00 - 16:00,10:30 - 12:00,"Dọn phòng hàng ngày, WiFi miễn phí, Khu vực bãi tắm riêng, Trung tâm thể dục",
46,Kim Tấn Hoàng,17.490.000 - 18.120.000 VND,Thái Nguyên,Xe đưa đón sân bay,14:00 - 16:00,12:30 - 12:00,Sân vườn,Chỗ đậu xe riêng
47,An Phú Hoàng,10.030.000 - 10.580.000 VND,Hà Nam,"Thang máy, Xe đưa đón sân bay, Sân thượng / hiên",13:00 - 17:00,10:00 - 12:00,"Khu vực bãi tắm riêng, WiFi miễn phí",Nôi em bé
48,Phương Phạm,14.190.000 - 15.410.000 VND,Ninh Thuận,"Dọn phòng hàng ngày, Bữa sáng, Phòng gia đình, Hồ bơi trong nhà",12:30 - 18:00,10:30 - 12:00,"Sân vườn, Máy pha trà/cà phê, Nôi/cũi theo yêu cầu",Khu vực cho phép hút thuốc
49,Hải Đặng,6.820.000 - 7.730.000 VND,Quảng Bình,"Xe đưa đón sân bay, Hồ bơi trong nhà, Dịch vụ phòng, Điều hòa nhiệt độ",12:30 - 13:00,10:00 - 12:00,"Khu vực bãi tắm riêng, Sân vườn",
50,Duyên Trần,12.120.000 - 14.070.000 VND,Lai Châu,"Điều hòa nhiệt độ, Hồ bơi ngoài trời, Hồ bơi trong nhà",12:30 - 14:00,11:00 - 12:00,"Xe đưa đón sân bay, Lễ tân 24 giờ",Khu vực cho phép hút thuốc
51,Vi Mai,6.030.000 - 7.820.000 VND,Vĩnh Long,"Quầy bar, Trung tâm Spa & chăm sóc sức khoẻ",14:00 - 13:00,11:30 - 12:00,"Dọn phòng hàng ngày, Thang máy, Giặt ủi, Lễ tân 24 giờ",
52,Lâm Dương,17.690.000 - 18.920.000 VND,Bình Dương,Chỗ đỗ xe,14:00 - 17:00,9:00 - 12:00,"Trung tâm thể dục, Hồ bơi trong nhà",
53,Nhật Mai Bảo Hoàng,5.130.000 - 5.440.000 VND,Lạng Sơn,"Sân thượng / hiên, Dịch vụ phòng, Trung tâm Spa & chăm sóc sức khoẻ, Nôi/cũi theo yêu cầu",14:30 - 16:00,11:30 - 12:00,"Trung tâm thể dục, Sân thượng / hiên, Lễ tân 24 giờ",Hướng biển
54,Kim Văn Bùi,15.670.000 - 16.210.000 VND,Ninh Bình,"Xe đưa đón sân bay, Phòng không hút thuốc",11:00 - 14:00,10:00 - 12:00,"Bữa sáng, WiFi miễn phí",Giường phụ
55,Hà Thế Dương,9.670.000 - 10.420.000 VND,Bạc Liêu,"Hồ bơi trong nhà, Tiện nghi BBQ",13:30 - 13:00,10:30 - 12:00,"WiFi miễn phí, Điều hòa nhiệt độ",Phòng không cửa sổ
56,Xuân Nguyễn,3.100.000 - 3.790.000 VND,Thái Bình,"Phòng gia đình, Lễ tân 24 giờ",12:30 - 17:00,11:30 - 12:00,Dọn phòng hàng ngày,Không cần dọn phòng
57,Nhật Bùi,5.620.000 - 6.910.000 VND,Lâm Đồng,"Dọn phòng hàng ngày, Phòng gia đình, Sân thượng / hiên, Lễ tân 24 giờ",14:30 - 17:00,11:00 - 12:00,Dịch vụ phòng,Giường phụ
58,Duyên Đặng,12.070.000 - 12.130.000 VND,Quảng Trị,"Trung tâm thể dục, Lễ tân 24 giờ, Trung tâm Spa & chăm sóc sức khoẻ",12:30 - 17:00,12:30 - 12:00,"Trung tâm thể dục, WiFi miễn phí",Giáp biển
59,Dũng Thị Đặng,1.910.000 - 3.120.000 VND,Hà Nam,"Thang máy, Phòng không hút thuốc, Điều hòa nhiệt độ, Giặt ủi",13:30 - 18:00,12:30 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Máy pha trà/cà phê, Lễ tân 24 giờ, Dọn phòng hàng ngày",
60,Hà Đặng,5.210.000 - 6.040.000 VND,Bình Dương,"Nôi/cũi theo yêu cầu, Bữa sáng, Phòng không hút thuốc, Máy pha trà/cà phê",14:30 - 13:00,10:30 - 12:00,"Quầy bar, Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ, Lễ tân 24 giờ",
61,Khoa Vũ,11.290.000 - 11.630.000 VND,Tuyên Quang,"Dọn phòng hàng ngày, Tiện nghi BBQ, Sân vườn",11:00 - 18:00,10:00 - 12:00,"Máy pha trà/cà phê, Bữa sáng, WiFi miễn phí",
62,Minh Xuân Mai,17.280.000 - 17.580.000 VND,Hưng Yên,Quầy bar,12:30 - 18:00,11:30 - 12:00,"Sân vườn, Dịch vụ phòng, Dọn phòng hàng ngày, Máy pha trà/cà phê",
63,Quang Trí Nguyễn,3.950.000 - 5.490.000 VND,Kon Tum,"Phòng gia đình, Xe đưa đón sân bay",14:30 - 17:00,11:00 - 12:00,"Khu vực bãi tắm riêng, Hồ bơi trong nhà, Trung tâm thể dục",Phòng không cửa sổ
64,Hoàng Vũ,10.070.000 - 10.460.000 VND,Hòa Bình,"Tiện nghi cho khách khuyết tật, Thang máy, Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ",15:30 - 16:00,11:00 - 12:00,"Trung tâm thể dục, Chỗ đỗ xe",
65,Lan Mai,15.930.000 - 16.990.000 VND,Bạc Liêu,"Khu vực bãi tắm riêng, Sân vườn, Tiện nghi BBQ",14:30 - 18:00,10:30 - 12:00,Nhà hàng,Giường phụ
66,Nhiên Mai,6.840.000 - 7.100.000 VND,Thừa Thiên Huế,"Điều hòa nhiệt độ, Nôi/cũi theo yêu cầu, Dọn phòng hàng ngày, Bữa sáng",12:30 - 18:00,10:00 - 12:00,"Xe đưa đón sân bay, Thang máy, Sân thượng / hiên, Tiện nghi BBQ",Hướng biển
67,Dũng Hải Mai,17.490.000 - 18.340.000 VND,Thanh Hóa,"Thang máy, Quầy bar, Tiện nghi BBQ, Trung tâm Spa & chăm sóc sức khoẻ",14:00 - 17:00,9:00 - 12:00,"Dịch vụ phòng, Khu vực bãi tắm riêng, Phòng gia đình",Hướng biển
68,Thành Mai Vũ,15.620.000 - 17.250.000 VND,Quảng Nam,Dọn phòng hàng ngày,12:30 - 13:00,9:30 - 12:00,Hồ bơi trong nhà,Không cần dọn phòng
69,Phúc Quang Dương,3.030.000 - 3.660.000 VND,Lai Châu,"Trung tâm thể dục, Phòng không hút thuốc, Giặt ủi, Phòng gia đình",15:30 - 17:00,10:30 - 12:00,"Dịch vụ phòng, Dọn phòng hàng ngày",Giáp biển
70,Quang Thị Dương,5.270.000 - 6.980.000 VND,An Giang,"Hồ bơi trong nhà, Phòng không hút thuốc, Máy pha trà/cà phê, Giặt ủi",11:30 - 15:00,11:30 - 12:00,"Dọn phòng hàng ngày, Hồ bơi trong nhà, Hồ bơi ngoài trời",Giáp biển
71,Tú Hoàng,2.230.000 - 2.840.000 VND,Hà Tĩnh,"Trung tâm thể dục, Hồ bơi trong nhà, Tiện nghi BBQ",13:00 - 18:00,12:30 - 12:00,Trung tâm thể dục,Phòng yên tĩnh
72,Dương Vũ,12.460.000 - 14.370.000 VND,Kiên Giang,"Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng, Sân thượng / hiên",13:00 - 18:00,10:30 - 12:00,"Quầy bar, Điều hòa nhiệt độ",Phòng không cửa sổ
73,An Vũ,850.000 - 1.650.000 VND,Sơn La,"Lễ tân 24 giờ, Trung tâm thể dục, Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng",12:00 - 15:00,11:30 - 12:00,"Hồ bơi ngoài trời, Nhà hàng",Tầng cao
74,Hải Đặng,10.920.000 - 12.210.000 VND,Trà Vinh,"Giặt ủi, Xe đưa đón sân bay, Sân vườn",13:30 - 13:00,12:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Dịch vụ phòng",Phòng không cửa sổ
75,Duyên Trần,8.180.000 - 9.610.000 VND,Hà Nội,Chỗ đỗ xe,11:30 - 17:00,9:30 - 12:00,"Phòng không hút thuốc, Khu vực bãi tắm riêng, Xe đưa đón sân bay",Phòng không cửa sổ
76,Thành Văn Nguyễn,7.650.000 - 7.930.000 VND,Phú Yên,"Sân vườn, Bữa sáng",15:30 - 17:00,10:00 - 12:00,"Tiện nghi BBQ, Hồ bơi trong nhà, Quầy bar, WiFi miễn phí",
77,Bảo Quang Lê,970.000 - 1.070.000 VND,Đồng Tháp,"Điều hòa nhiệt độ, Dịch vụ phòng, Máy pha trà/cà phê, Nhà hàng",14:30 - 15:00,12:00 - 12:00,"Quầy bar, Điều hòa nhiệt độ, Sân vườn, Sân thượng / hiên",View đẹp
78,Phúc Hoàng,720.000 - 2.490.000 VND,Hà Nội,"Dọn phòng hàng ngày, Dịch vụ phòng",13:00 - 18:00,11:30 - 12:00,Chỗ đỗ xe,
79,Ánh Trần,2.550.000 - 3.720.000 VND,Bắc Ninh,"Quầy bar, Sân thượng / hiên",11:00 - 15:00,10:00 - 12:00,"Phòng gia đình, Trung tâm Spa & chăm sóc sức khoẻ",Giường phụ
80,Hải Đặng,4.470.000 - 5.070.000 VND,Hà Giang,"Sân thượng / hiên, Bữa sáng",13:00 - 14:00,11:00 - 12:00,Phòng không hút thuốc,Chỗ đậu xe riêng
81,An Trần,350.000 - 1.270.000 VND,Sơn La,"Trung tâm thể dục, Thang máy",11:00 - 15:00,9:00 - 12:00,"Nôi/cũi theo yêu cầu, Điều hòa nhiệt độ, Khu vực bãi tắm riêng, Phòng gia đình",Tầng cao
82,Hương Đặng,10.560.000 - 12.080.000 VND,Bến Tre,"Nôi/cũi theo yêu cầu, Dịch vụ phòng, Sân thượng / hiên, Lễ tân 24 giờ",15:30 - 16:00,9:00 - 12:00,"Chỗ đỗ xe, WiFi miễn phí, Phòng không hút thuốc, Điều hòa nhiệt độ",Giáp biển
83,Quang Lê,1.550.000 - 1.760.000 VND,Gia Lai,"Phòng gia đình, Nhà hàng",13:30 - 16:00,11:30 - 12:00,"Điều hòa nhiệt độ, Tiện nghi BBQ, Quầy bar, Trung tâm Spa & chăm sóc sức khoẻ",Nôi em bé
84,Khoa Trần,8.850.000 - 10.010.000 VND,Tiền Giang,"WiFi miễn phí, Thang máy",14:30 - 16:00,9:30 - 12:00,"Thang máy, Phòng không hút thuốc, Xe đưa đón sân bay, Tiện nghi cho khách khuyết tật",Phòng không cửa sổ
85,Trung Vũ,9.760.000 - 9.940.000 VND,Bắc Ninh,Phòng gia đình,14:00 - 18:00,11:00 - 12:00,Trung tâm thể dục,Khu vực cho phép hút thuốc
86,Ánh Lê,6.800.000 - 8.520.000 VND,Bình Dương,"Tiện nghi cho khách khuyết tật, Phòng không hút thuốc, Trung tâm Spa & chăm sóc sức khoẻ, WiFi miễn phí",11:30 - 17:00,11:30 - 12:00,Trung tâm thể dục,Chỗ đậu xe riêng
87,Lâm Trí Hoàng,13.490.000 - 14.730.000 VND,Đà Nẵng,Tiện nghi cho khách khuyết tật,15:30 - 13:00,11:00 - 12:00,"Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ, Sân thượng / hiên, Phòng không hút thuốc",Phòng yên tĩnh
88,Huy Lê,12.520.000 - 14.210.000 VND,Thái Nguyên,"Bữa sáng, Giặt ủi, Xe đưa đón sân bay",13:30 - 15:00,9:00 - 12:00,"Trung tâm thể dục, Phòng không hút thuốc",Chỗ đậu xe riêng
89,Dương Nguyễn,15.220.000 - 16.850.000 VND,Yên Bái,Phòng gia đình,15:00 - 16:00,12:30 - 12:00,"Giặt ủi, Tiện nghi cho khách khuyết tật, Hồ bơi trong nhà",Giường phụ
90,Hưng Mai,12.260.000 - 12.480.000 VND,Tiền Giang,Nhà hàng,12:00 - 18:00,9:30 - 12:00,"Phòng không hút thuốc, WiFi miễn phí, Sân vườn, Sân thượng / hiên",View đẹp
91,Khoa Tấn Trần,4.460.000 - 6.400.000 VND,Kon Tum,Tiện nghi cho khách khuyết tật,14:00 - 15:00,12:30 - 12:00,Dịch vụ phòng,Giường phụ
92,Ngọc Phạm,1.170.000 - 1.190.000 VND,Cần Thơ,"Hồ bơi ngoài trời, Trung tâm Spa & chăm sóc sức khoẻ, Nhà hàng",13:30 - 15:00,9:00 - 12:00,"Khu vực bãi tắm riêng, WiFi miễn phí, Giặt ủi, Nhà hàng",Nôi em bé
93,Mai Mai,10.290.000 - 11.730.000 VND,Thái Nguyên,"Phòng gia đình, Chỗ đỗ xe, Khu vực bãi tắm riêng",11:30 - 13:00,12:00 - 12:00,"Trung tâm thể dục, WiFi miễn phí, Chỗ đỗ xe",Không cần dọn phòng
94,Hà Vũ,5.970.000 - 6.270.000 VND,Hải Dương,Thang máy,12:30 - 18:00,11:00 - 12:00,"Điều hòa nhiệt độ, Dịch vụ phòng, WiFi miễn phí, Trung tâm thể dục",Hướng biển
95,Hồng Dương,8.150.000 - 8.950.000 VND,Quảng Ninh,"Dịch vụ phòng, Thang máy, Trung tâm Spa & chăm sóc sức khoẻ",12:00 - 17:00,9:00 - 12:00,"Tiện nghi cho khách khuyết tật, Khu vực bãi tắm riêng, Quầy bar",Nôi em bé
96,Tú Vũ,2.150.000 - 2.530.000 VND,Đắk Nông,"Giặt ủi, Sân thượng / hiên",12:00 - 14:00,12:30 - 12:00,"Phòng không hút thuốc, Trung tâm thể dục, Quầy bar, Sân thượng / hiên",Phòng không cửa sổ
97,Khoa Lê,6.520.000 - 6.910.000 VND,Hòa Bình,Sân vườn,14:30 - 15:00,9:30 - 12:00,Hồ bơi trong nhà,Phòng yên tĩnh
98,Linh Nguyễn,1.210.000 - 2.160.000 VND,Thái Nguyên,"Phòng gia đình, Quầy bar, Sân thượng / hiên",15:30 - 16:00,9:30 - 12:00,"Thang máy, Sân thượng / hiên",Chỗ đậu xe riêng
99,Hạnh Mai Bảo Nguyễn,1.310.000 - 2.470.000 VND,Bến Tre,"Tiện nghi BBQ, Phòng gia đình, Nôi/cũi theo yêu cầu",12:00 - 14:00,12:30 - 12:00,"Tiện nghi cho khách khuyết tật, Hồ bơi trong nhà",Tầng cao
100,Minh Nguyễn,13.950.000 - 15.490.000 VND,Bắc Giang,"Phòng gia đình, Thang máy, Điều hòa nhiệt độ",15:30 - 15:00,11:00 - 12:00,"Phòng gia đình, Trung tâm thể dục, Phòng không hút thuốc",
101,Phúc Dương,7.210.000 - 8.010.000 VND,Vĩnh Phúc,"Nhà hàng, Sân thượng / hiên, Tiện nghi BBQ, Phòng gia đình",13:30 - 18:00,11:00 - 12:00,Quầy bar,Khu vực cho phép hút thuốc
102,Linh Dương,7.460.000 - 7.510.000 VND,Hà Nội,"Giặt ủi, Hồ bơi ngoài trời, Thang máy",14:00 - 14:00,10:00 - 12:00,Hồ bơi trong nhà,Hướng biển
103,Khoa Đặng,10.440.000 - 12.420.000 VND,Lâm Đồng,Phòng không hút thuốc,13:00 - 17:00,12:00 - 12:00,"Giặt ủi, Tiện nghi BBQ",Chỗ đậu xe riêng
104,Thành Tấn Trần,14.810.000 - 15.940.000 VND,Bạc Liêu,"Tiện nghi cho khách khuyết tật, Phòng không hút thuốc, Khu vực bãi tắm riêng, Dịch vụ phòng",14:30 - 18:00,12:00 - 12:00,"Hồ bơi trong nhà, Sân vườn",Nôi em bé
105,Nhật Hoàng,7.580.000 - 9.320.000 VND,Vĩnh Long,"Dọn phòng hàng ngày, Trung tâm Spa & chăm sóc sức khoẻ, Hồ bơi trong nhà, Chỗ đỗ xe",15:30 - 14:00,10:00 - 12:00,"Lễ tân 24 giờ, Quầy bar, Sân vườn",Khu vực cho phép hút thuốc
106,Nguyễn,2.150.000 - 3.980.000 VND,Thanh Hóa,Hồ bơi trong nhà,11:00 - 15:00,12:00 - 12:00,"Phòng gia đình, Dịch vụ phòng, Dọn phòng hàng ngày, Tiện nghi cho khách khuyết tật",Không cần dọn phòng
107,Trọng Trí Hoàng,1.140.000 - 2.160.000 VND,Kon Tum,"Dịch vụ phòng, Chỗ đỗ xe, Phòng gia đình",13:00 - 13:00,11:00 - 12:00,"Nhà hàng, Lễ tân 24 giờ, Hồ bơi trong nhà",Giáp biển
108,Nhật Hữu Phạm,14.300.000 - 14.660.000 VND,Quảng Trị,"Dọn phòng hàng ngày, Sân thượng / hiên, Bữa sáng, Phòng gia đình",11:30 - 14:00,10:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,
